epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss,val_within_accuracy,within_accuracy
0,0.7197142839431763,1.4672645330429077,0.7357142567634583,1.4154160022735596,0.9571428298950195,0.8711428642272949
1,0.7331428527832031,1.3735711574554443,0.7371428608894348,1.3294005393981934,0.9551428556442261,0.9554286003112793
2,0.7345714569091797,1.2941409349441528,0.7205714583396912,1.2672810554504395,0.9457142949104309,0.9531428813934326
3,0.7360000014305115,1.2231369018554688,0.7268571257591248,1.1982990503311157,0.9562857151031494,0.9568571448326111
4,0.7370380759239197,1.1623005867004395,0.734000027179718,1.139397144317627,0.9488571286201477,0.9573188424110413
5,0.7300000190734863,1.1193777322769165,0.7342857122421265,1.09172785282135,0.9580000042915344,0.9545714259147644
6,0.7462857365608215,1.0587619543075562,0.7354285717010498,1.0530331134796143,0.9539999961853027,0.9565714001655579
7,0.7471428513526917,1.0206596851348877,0.7379999756813049,1.0145889520645142,0.9582856893539429,0.9580000042915344
8,0.74314284324646,0.9952324628829956,0.7265714406967163,1.0047051906585693,0.9580000042915344,0.9562857151031494
9,0.7302857041358948,0.9900583624839783,0.7282857298851013,0.9832133054733276,0.954285740852356,0.9545714259147644
10,0.7402856945991516,0.957733690738678,0.7268571257591248,0.9691731929779053,0.951714277267456,0.949999988079071
11,0.7388571500778198,0.9432759284973145,0.7239999771118164,0.9581112861633301,0.9574285745620728,0.9534285664558411
12,0.7468571662902832,0.9134551286697388,0.7319999933242798,0.9336514472961426,0.9531428813934326,0.9591428637504578
13,0.7317143082618713,0.9306585788726807,0.7337142825126648,0.9225085973739624,0.9528571367263794,0.9537143111228943
