epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss,val_within_accuracy,within_accuracy
0,0.7502166032791138,1.4009429216384888,0.7368571162223816,1.3526732921600342,0.9102857112884521,0.8255847692489624
1,0.7340456247329712,1.3150360584259033,0.7274285554885864,1.2810356616973877,0.907714307308197,0.913081169128418
2,0.7424198389053345,1.2360920906066895,0.7274285554885864,1.2138605117797852,0.9128571152687073,0.9101935029029846
3,0.7279999852180481,1.1855018138885498,0.7279999852180481,1.1582839488983154,0.906000018119812,0.9062857031822205
4,0.7408571243286133,1.1199430227279663,0.7314285635948181,1.1063228845596313,0.9054285883903503,0.9171428680419922
5,0.7377142906188965,1.0786155462265015,0.734000027179718,1.0642153024673462,0.9062857031822205,0.911142885684967
6,0.7421311140060425,1.0334556102752686,0.7311428785324097,1.033621907234192,0.907714307308197,0.920300304889679
7,0.7425714135169983,1.00211763381958,0.7331428527832031,1.0037626028060913,0.9505714178085327,0.9282857179641724
8,0.7422857284545898,0.97713303565979,0.7262856960296631,0.9920940399169922,0.9534285664558411,0.9514285922050476
9,0.7391428351402283,0.9598010778427124,0.7260000109672546,0.9741220474243164,0.9539999961853027,0.9628571271896362
10,0.7282857298851013,0.9617968201637268,0.7285714149475098,0.9507530927658081,0.9565714001655579,0.9545714259147644
11,0.7308571338653564,0.9464134573936462,0.7319999933242798,0.9402323365211487,0.9531428813934326,0.9539999961853027
12,0.7365714311599731,0.9228696227073669,0.7274285554885864,0.934016227722168,0.9545714259147644,0.9545714259147644
13,0.7488571405410767,0.8956044912338257,0.727142870426178,0.927219033241272,0.9554286003112793,0.9591428637504578
14,0.734000027179718,0.9126049876213074,0.7328571677207947,0.9101665616035461,0.9562857151031494,0.9551428556442261
15,0.7468571662902832,0.8824995160102844,0.7357142567634583,0.8996407389640808,0.9597142934799194,0.9522857069969177
16,0.7391428351402283,0.8877711892127991,0.7208571434020996,0.9214693903923035,0.9548571705818176,0.9574285745620728
17,0.7405714392662048,0.8799991607666016,0.7262856960296631,0.9080877304077148,0.951714277267456,0.9559999704360962
18,0.7425714135169983,0.8714826107025146,0.7474285960197449,0.8666512370109558,0.9551428556442261,0.9545714259147644
